Flat_type,Storey_range,Floor_area_sqm,Remaining_months,Resale_price
4 ROOM,10 TO 12,102,935,628000
4 ROOM,07 TO 09,89,801,520000
5 ROOM,16 TO 18,121,800,750000
5 ROOM,19 TO 21,121,796,773888
5 ROOM,07 TO 09,121,803,725000
5 ROOM,07 TO 09,119,807,670000
5 ROOM,07 TO 09,120,805,740000
5 ROOM,10 TO 12,121,816,708888
5 ROOM,04 TO 06,119,807,668000
5 ROOM,13 TO 15,121,805,792000
5 ROOM,16 TO 18,121,801,800000
5 ROOM,10 TO 12,132,863,850000
5 ROOM,10 TO 12,133,864,790000
5 ROOM,19 TO 21,121,936,755888
5 ROOM,25 TO 27,123,935,868000
5 ROOM,10 TO 12,120,1093,1050000
5 ROOM,22 TO 24,120,787,720000
5 ROOM,01 TO 03,120,791,558000
EXECUTIVE,04 TO 06,151,802,858000
EXECUTIVE,10 TO 12,146,806,905000
EXECUTIVE,07 TO 09,146,799,920000
EXECUTIVE,04 TO 06,146,863,838000
EXECUTIVE,04 TO 06,149,862,858000
EXECUTIVE,01 TO 03,148,782,968000
MULTI-GENERATION,10 TO 12,165,803,930000
4 ROOM,01 TO 03,104,786,590000
4 ROOM,04 TO 06,84,778,488000
4 ROOM,01 TO 03,84,797,450000
4 ROOM,19 TO 21,106,864,688888
4 ROOM,10 TO 12,103,864,553000
4 ROOM,07 TO 09,105,864,560000
4 ROOM,04 TO 06,107,864,519888
4 ROOM,01 TO 03,116,864,560000
4 ROOM,07 TO 09,118,861,625000
4 ROOM,04 TO 06,103,864,562000
4 ROOM,04 TO 06,104,864,565000
4 ROOM,10 TO 12,109,863,595000
4 ROOM,04 TO 06,103,863,570000
4 ROOM,07 TO 09,103,834,602000
4 ROOM,01 TO 03,89,792,493000
5 ROOM,19 TO 21,131,809,815000
5 ROOM,01 TO 03,121,863,768000
5 ROOM,10 TO 12,133,863,818000
5 ROOM,19 TO 21,121,934,825000
5 ROOM,07 TO 09,132,861,822000
5 ROOM,22 TO 24,120,1091,1065000
5 ROOM,19 TO 21,120,1091,1000000
5 ROOM,01 TO 03,125,775,750000
5 ROOM,04 TO 06,121,778,680000
EXECUTIVE,13 TO 15,144,802,850000
EXECUTIVE,01 TO 03,152,795,795000
EXECUTIVE,04 TO 06,146,798,873000
EXECUTIVE,01 TO 03,149,861,808000
EXECUTIVE,01 TO 03,149,783,905000
3 ROOM,01 TO 03,64,781,386100
3 ROOM,07 TO 09,64,809,410000
3 ROOM,07 TO 09,67,774,390000
